KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
16384,1,128,64,9,2,0,9,10,0,5,4096,450,1.3619314777680030434898383769767771019677664769320085040923298851782832474366379e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,460,1.3340092065119770111958656019875876474713266298557566112515617232243553827161073e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,470,1.3054347791323603018200901657032592528073908344200485741856611993968473847597503e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,480,1.2771947437940413096061704136822912874652416779374121450284362106430603637859801e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,490,1.2484725591700097000100258495478516995780920233306477128512451036792920247626719e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,500,1.2196389591165224059265179146337775694810567759324700867473783997471289581082691e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,510,1.1905156196839305941041734456758665018374115525936495428945519930838556062432088e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,520,1.1613816829086211865162100642211978269902368434148221283545011459039448426334194e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,530,1.1321292800892079072000760346669587136945924577103340047270176834091043933013713e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,540,1.1029518584090328327568813226603360778784735305908259942418726767853856009525618e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,550,1.0737034151449443262299371148205339712607238185227560755628954228139807495992426e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,560,1.0444224409164360035131561008922677843963125241226514216130529561113944535501599e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,570,1.0152739695497914160493966360680302970934154311799288334551534226922378831155498e-29
16384,1,128,64,9,2,0,9,10,0,5,4096,580,9.8623963581907524812678654157302844438751835180299254684046515602635761034993132e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,590,9.5718469227193195180890020528907974671366335349087876388349209495920373660680582e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,600,9.2839896295805000514140057749263058079708892616116448546198033354850539543065145e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,610,8.9953709238303809150889363901339625861401110148698798799079365654088730152176814e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,620,8.7142959452007291125355831813842423530929325196510400464726820815706531412487968e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,630,8.4237891657054692358197791709305541629054119335191200134024906162185306874958367e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,640,8.1545124906495508802672464145704456194087598929117576677086294831363330337272494e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,650,7.8794707841276165356146865120416474022287186397704974905281672487352561712549181e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,660,7.6072745686443365992629844388904279977795540420639868039327375126718095251364251e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,670,7.3394356696082292557146590667988348234014982642945441992188040775931917539504668e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,680,7.0750836851426246442387317975180491519924391492231185805463346114252734203661881e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,690,6.8146636518346815216858118414539622440856960727957089854027489195882766134834130e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,700,6.5591863048143866845059954150453049322645837998049673655714041829695294554810309e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,710,6.3091461889297235718248091058738529983852783402925828177623392253955644654943024e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,720,6.0614497751069319488664713738890626432273040010910918000066358837255008384965827e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,730,5.8207745454058174123379238385219684211913043602605936319683053772494389666790303e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,740,5.5835347549435598099267068532990800165234345356314202333583097388046759694504264e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,750,5.3534669008452974321518820277207157017345774165712460502575223194692486567512964e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,760,5.1264354424557603396363669554201713958282174330695898391370064101035846372621316e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,770,4.9062001244496474491201466937553070071325728954570505026904739437337434452145385e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,780,4.6891639260586644351837526469099367426573553730428305889045149681510940409482573e-30
16384,1,128,64,9,2,0,9,10,0,5,4096,790,4.4825917564997438852882792953799838681144208452975313752975563131693696248654574e-30
