KEM_Q,KEM_LEVEL,KEM_MESSAGE_BIT_LENGTH,KEM_N,KEM_K,KEM_ETA1,KEM_ETA2,KEM_N_BLOCKS_FOR_DU0,KEM_DU0,KEM_DU1,KEM_DV,CODE_ALPHA,CODE_BETA,DFR
7681,3,512,256,8,2,2,8,13,0,7,1920,470,1.2276787643099316901249146587754476481495959391232842665536409142825699219169956e-48
7681,3,512,256,8,2,2,8,13,0,7,1920,480,9.4213859724485759884596975660162795552376530978463094262607902666726641922193944e-49
7681,3,512,256,8,2,2,8,13,0,7,1920,490,7.1833165800933795369468349505276447724889810538092808876990589003587820920370061e-49
7681,3,512,256,8,2,2,8,13,0,7,1920,500,5.5662307012137895642706620015598444076810705079007978371615010987261816339075940e-49
7681,3,512,256,8,2,2,8,13,0,7,1920,510,4.8471715022615881697887772032067073599471416171452919623585573548782514847699298e-49
7681,3,512,256,8,2,2,8,13,0,7,1920,520,6.9497531709518402530797818635923021253109413263851728515578450062591313569004146e-49
4001,1,128,64,9,1,1,9,9,0,7,1000,0,7.5300522759516365421699665127663197916486593918275886899193143402220204368072523e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,10,7.4008089208574489294569982021680800319150542325804905509664505981535472130075700e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,20,7.2538948680219647889824300760760916021406434862243231731464546532710000175081755e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,30,7.0152896501819143635136568582293575298744137831070904808420227010377688450893348e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,40,6.6958964833336526422314191040306470068770405156338752790755277578176362202614229e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,50,6.3056348693811390094296828880278835609728244756762793905124447971453465651354933e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,60,5.8576037542753996510191528669608615402437575737830493068245169763665786565315954e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,70,5.3698910697997002361913010366203244620601483379225173942361533303047690559774820e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,80,4.8585958662240944723697030967818211495554960838915960884729743742548471600410299e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,90,4.3358854540983822477125432401408292299461678156418623879016058139135917079335516e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,100,3.8212111576670267444411948611365824769616874310855936000469175497943328033906836e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,110,3.3185297675758802433207397092000674752853812188940758723268999926625049423019696e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,120,2.8461228310544442363460065380379648737564614648881639765750823518514564728934212e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,130,2.4074912907707984251193438736116930706285074551381231324624654853166750076046361e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,140,2.0099509866338822632315019585248118929813415769551503798518429528381230743384117e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,150,1.6560342291904820587527023062461105018370958333328247316225631570841453909567046e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,160,1.3458604605113781750966363345669204596419220923896727856199946141496065186682258e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,170,1.0790585287005601632583916732759680096587993107588312744707994110176123191884482e-29
4001,1,128,64,9,1,1,9,9,0,7,1000,180,8.5390790609114027377861170847345788074177371082872012158140552063417047582844003e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,190,6.6664480514977188140709387284373425328555061807697843211815336504837620942989625e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,200,5.1450604264254428867175606561425505620001366041044735770028440025728256341657460e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,210,3.9036745825457241515013935220678749661459604419402296163777912139826597237096485e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,220,2.9279884969332196939541822405046715800162838310621010979927035067324390234411490e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,230,2.1666582008288734999214229522317434022433134465602453522967101122503124863212435e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,240,1.5828633777575161030668386869734606766729415915862166204639861300427023577325649e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,250,1.1462001726089605835464171339861449432954579139501155722020958366653411677898012e-30
4001,1,128,64,9,1,1,9,9,0,7,1000,260,8.3598819047542909622360476023488605948539553429716266436303061928821674451850413e-31
4001,1,128,64,9,1,1,9,9,0,7,1000,270,7.5190319748543888944467951338184545092814530648808634809913152712857589493274477e-31
4001,1,128,64,9,1,1,9,9,0,7,1000,280,1.6693990789839463841549358183266012519075431251030193384162348579299646785664317e-30
4001,2,256,128,9,1,1,9,11,0,5,1000,0,2.0040643604060992777342980839299092234021363773666092719117072730803803655867361e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,10,1.9316104639902966451709449146352526301265939678736079721587546652057431613860149e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,20,1.9406684546137929822052548589533035843850278198454939980440253177352831756133515e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,30,1.9536195503321923268390250911050079497411614514055042136822261870465784539765900e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,40,1.9667952379207876778819607196772843917254055555189169006628838728672251435281088e-49
4001,2,256,128,9,1,1,9,11,0,5,1000,50,1.9716733335854111927966606586447892546159811398749436896713130305628254680976598e-49
